Frame,Time (Seconds),X,Y,Z
0,0,0.416968,-0.001791,0.289346
1,0.033333,0.41702,-0.001787,0.289429
2,0.066667,0.416986,-0.001793,0.289435
3,0.1,0.416952,-0.001773,0.28936
4,0.133333,0.417002,-0.001788,0.289417
5,0.166667,0.416984,-0.001772,0.289424
6,0.2,0.416942,-0.001773,0.289373
7,0.233333,0.416986,-0.001771,0.289411
8,0.266667,0.417035,-0.00177,0.289528
9,0.3,0.416995,-0.001755,0.289539
10,0.333333,0.416985,-0.001758,0.289488
11,0.366667,0.417035,-0.001763,0.289513
12,0.4,0.41699,-0.001746,0.289523
13,0.433333,0.416933,-0.001751,0.289485
14,0.466667,0.416974,-0.001748,0.289479
15,0.5,0.417019,-0.001748,0.289541
16,0.533333,0.416965,-0.001738,0.289559
17,0.566667,0.416951,-0.001732,0.289511
18,0.6,0.417004,-0.00174,0.289528
19,0.633333,0.416993,-0.001737,0.289578
20,0.666667,0.416961,-0.001732,0.289585
21,0.7,0.417077,-0.001686,0.289683
22,0.733333,0.41721,-0.001587,0.289832
23,0.766667,0.417256,-0.001452,0.28976
24,0.8,0.417318,-0.001252,0.289644
25,0.833333,0.41745,-0.001485,0.2898
26,0.866667,0.417457,-0.001354,0.28977
27,0.9,0.417496,-0.001189,0.289216
28,0.933333,0.417598,-0.001172,0.2879
29,0.966667,0.417409,-0.001257,0.285798
30,1,0.417098,-0.001418,0.282864
31,1.033333,0.41698,-0.001562,0.279076
32,1.066667,0.416883,-0.001459,0.27713
33,1.1,0.417038,-0.001366,0.276581
34,1.133333,0.41711,-0.001682,0.2771
35,1.166667,0.417138,-0.001645,0.278033
36,1.2,0.417172,-0.001762,0.278799
37,1.233333,0.417153,-0.001762,0.279198
38,1.266667,0.41725,-0.001814,0.279858
39,1.3,0.417287,-0.002026,0.280656
40,1.333333,0.41723,-0.001946,0.28091
41,1.366667,0.417294,-0.002094,0.281435
42,1.4,0.417302,-0.00206,0.282217
43,1.433333,0.417238,-0.002002,0.28271
44,1.466667,0.417211,-0.002043,0.283235
45,1.5,0.417232,-0.001982,0.283778
46,1.533333,,,
47,1.566667,0.417204,-0.001831,0.284909
48,1.6,0.417233,-0.001862,0.28505
49,1.633333,0.417227,-0.001834,0.285033
50,1.666667,0.417202,-0.001837,0.285047
51,1.7,0.417213,-0.001833,0.285063
