Frame,Time (Seconds),X,Y,Z
0,0,0.390723,-0.001451,0.168495
1,0.033333,0.390703,-0.001428,0.168488
2,0.066667,0.390721,-0.001453,0.168501
3,0.1,0.390743,-0.001442,0.168499
4,0.133333,0.390738,-0.001431,0.168443
5,0.166667,0.39074,-0.001441,0.168451
6,0.2,0.390782,-0.001446,0.168555
7,0.233333,0.390794,-0.001502,0.168676
8,0.266667,0.390797,-0.001409,0.16857
9,0.3,0.390795,-0.001488,0.168511
10,0.333333,0.390811,-0.001402,0.168614
11,0.366667,0.390822,-0.001527,0.168622
12,0.4,0.390838,-0.001421,0.168555
13,0.433333,0.39093,-0.001475,0.168408
14,0.466667,0.391092,-0.001307,0.168016
15,0.5,0.391216,-0.001097,0.167485
16,0.533333,0.391361,-0.001076,0.167166
17,0.566667,0.391436,-0.001174,0.167178
18,0.6,0.391508,-0.001476,0.167505
19,0.633333,,,
20,0.666667,,,
21,0.7,,,
22,0.733333,,,
23,0.766667,,,
24,0.8,,,
25,0.833333,,,
26,0.866667,,,
27,0.9,,,
28,0.933333,,,
29,0.966667,,,
30,1,0.392924,-0.00141,0.155966
31,1.033333,0.392848,-0.001346,0.156292
32,1.066667,0.392828,-0.001492,0.156739
33,1.1,0.392825,-0.001499,0.157457
34,1.133333,0.392766,-0.001598,0.158028
35,1.166667,0.392742,-0.001683,0.158347
36,1.2,0.392729,-0.001679,0.158625
37,1.233333,0.392721,-0.001804,0.159102
38,1.266667,0.392654,-0.001895,0.159708
39,1.3,0.392611,-0.001883,0.160013
40,1.333333,0.392633,-0.001898,0.159971
41,1.366667,0.392643,-0.001852,0.159857
42,1.4,0.392618,-0.001879,0.159942
43,1.433333,0.392615,-0.001884,0.159954
44,1.466667,0.392634,-0.001847,0.159907
45,1.5,0.392619,-0.001885,0.159963
46,1.533333,,,
47,1.566667,0.392617,-0.00188,0.159964
48,1.6,0.392608,-0.001864,0.159957
49,1.633333,0.392603,-0.001872,0.159956
50,1.666667,0.392601,-0.00187,0.159974
51,1.7,0.392605,-0.001862,0.159968
52,1.733333,0.392596,-0.001872,0.159969
53,1.766667,0.39259,-0.001863,0.159964
54,1.8,0.392606,-0.001868,0.159967
55,1.833333,0.39262,-0.001871,0.159969
56,1.866667,0.392606,-0.001865,0.159977
57,1.9,0.392601,-0.001868,0.159977
58,1.933333,0.392641,-0.001866,0.159962
59,1.966667,0.392655,-0.001873,0.159952
60,2,0.392596,-0.001865,0.159965
61,2.033333,0.39258,-0.001865,0.159957
62,2.066667,0.392608,-0.001865,0.159965
63,2.1,0.392574,-0.001858,0.159996
64,2.133333,0.392503,-0.001853,0.159989
65,2.166667,0.392517,-0.001845,0.159976
66,2.2,0.392552,-0.001864,0.159994
67,2.233333,0.392486,-0.001847,0.159963
68,2.266667,0.392442,-0.001833,0.159929
69,2.3,0.392499,-0.001853,0.159933
70,2.333333,0.39254,-0.001866,0.159978
71,2.366667,0.392391,-0.001826,0.160026
72,2.4,0.392292,-0.001706,0.15988
73,2.433333,0.392291,-0.001772,0.159801
74,2.466667,0.392288,-0.001576,0.159298
75,2.5,0.392163,-0.001593,0.159039
76,2.533333,0.392059,-0.001473,0.158814
77,2.566667,0.391994,-0.00147,0.158736
78,2.6,0.391811,-0.001506,0.158679
79,2.633333,0.39155,-0.001331,0.158131
80,2.666667,0.391346,-0.001203,0.15703
81,2.7,0.39078,-0.001161,0.155294
82,2.733333,0.39021,-0.001245,0.152677
83,2.766667,0.3896,-0.00121,0.149991
