Frame,Time (Seconds),X,Y,Z,,,,,,,,,,,,,,
17,0.566667,0.475728,-0.002573,0.023266,,,,,,,,,,,,,,
18,0.6,0.475629,-0.002798,0.023609,,,,,,,,,,,,,,
19,0.633333,0.475596,-0.002655,0.023904,,,,,,,,,,,,,,
20,0.666667,0.47562,-0.002681,0.023404,,,,,,,,,,,,,,
21,0.7,0.475623,-0.002732,0.023543,,,,,,,,,,,,,,velocity - 0.8 mm/s
22,0.733333,0.475654,-0.002715,0.023632,,,,,,,,,,,,,,
23,0.766667,0.475646,-0.00268,0.023496,,,,,,,,,,,,,,
24,0.8,0.475628,-0.002721,0.023559,,,,,,,,,,,,,,NOTE: UNBALANCED
25,0.833333,0.475631,-0.002705,0.023534,,,,,,,,,,,,,,
26,0.866667,0.475639,-0.002672,0.023465,,,,,,,,,,,,,,
27,0.9,0.475626,-0.002716,0.023508,,,,,,,,,,,,,,
28,0.933333,0.475629,-0.00267,0.023449,,,,,,,,,,,,,,
29,0.966667,0.475625,-0.002684,0.023443,,,,,,,,,,,,,,
30,1,0.475622,-0.002674,0.023435,,,,,,,,,,,,,,
31,1.033333,0.47562,-0.002667,0.023423,,,,,,,,,,,,,,
32,1.066667,0.475622,-0.002681,0.023423,,,,,,,,,,,,,,
33,1.1,0.475613,-0.002667,0.023379,,,,,,,,,,,,,,
34,1.133333,0.47561,-0.002675,0.023395,,,,,,,,,,,,,,
35,1.166667,0.475617,-0.002675,0.023386,,,,,,,,,,,,,,
36,1.2,0.475611,-0.002661,0.023348,,,,,,,,,,,,,,
37,1.233333,0.475602,-0.002669,0.023374,,,,,,,,,,,,,,
38,1.266667,0.475615,-0.002665,0.023353,,,,,,,,,,,,,,
39,1.3,0.475608,-0.002657,0.02333,,,,,,,,,,,,,,
40,1.333333,0.475599,-0.002675,0.023359,,,,,,,,,,,,,,
41,1.366667,0.475617,-0.002649,0.023309,,,,,,,,,,,,,,
42,1.4,0.475603,-0.002644,0.023301,,,,,,,,,,,,,,
43,1.433333,0.4756,-0.002663,0.023329,,,,,,,,,,,,,,
44,1.466667,,,,,,,,,,,,,,,,,
45,1.5,0.475605,-0.002649,0.023294,,,,,,,,,,,,,,
46,1.533333,0.475576,-0.002668,0.023234,,,,,,,,,,,,,,
47,1.566667,0.475537,-0.002671,0.022925,,,,,,,,,,,,,,
48,1.6,0.475368,-0.002766,0.022369,,,,,,,,,,,,,,
49,1.633333,0.47516,-0.002958,0.021684,,,,,,,,,,,,,,
50,1.666667,0.475119,-0.003075,0.021028,,,,,,,,,,,,,,
51,1.7,0.475103,-0.003098,0.020684,,,,,,,,,,,,,,
52,1.733333,0.475025,-0.003182,0.020598,,,,,,,,,,,,,,
53,1.766667,0.475032,-0.003208,0.020321,,,,,,,,,,,,,,
54,1.8,0.475037,-0.003216,0.020238,,,,,,,,,,,,,,
55,1.833333,0.475036,-0.003201,0.020423,,,,,,,,,,,,,,
56,1.866667,0.475046,-0.003239,0.020534,,,,,,,,,,,,,,
57,1.9,0.475061,-0.003281,0.020427,,,,,,,,,,,,,,
58,1.933333,0.475067,-0.003342,0.020239,,,,,,,,,,,,,,
59,1.966667,0.475078,-0.003356,0.020199,,,,,,,,,,,,,,
60,2,0.475061,-0.003341,0.020381,,,,,,,,,,,,,,
61,2.033333,0.475033,-0.003324,0.020626,,,,,,,,,,,,,,
62,2.066667,0.475034,-0.00332,0.020781,,,,,,,,,,,,,,
63,2.1,0.475032,-0.003303,0.021207,,,,,,,,,,,,,,
64,2.133333,0.474863,-0.003125,0.022037,,,,,,,,,,,,,,
65,2.166667,0.4746,-0.002802,0.023249,,,,,,,,,,,,,,
66,2.2,0.474248,-0.002628,0.024553,,,,,,,,,,,,,,
67,2.233333,0.474189,-0.002529,0.025173,,,,,,,,,,,,,,
68,2.266667,0.474155,-0.002409,0.02482,,,,,,,,,,,,,,
69,2.3,0.474132,-0.002334,0.024681,,,,,,,,,,,,,,
70,2.333333,0.473867,-0.002101,0.025968,,,,,,,,,,,,,,
71,2.366667,0.473846,-0.002298,0.026749,,,,,,,,,,,,,,
72,2.4,0.473691,-0.001871,0.02659,,,,,,,,,,,,,,
73,2.433333,0.473744,-0.001877,0.026212,,,,,,,,,,,,,,
74,2.466667,0.473693,-0.001824,0.026558,,,,,,,,,,,,,,
75,2.5,0.473706,-0.001847,0.026587,,,,,,,,,,,,,,
76,2.533333,0.47372,-0.001793,0.026437,,,,,,,,,,,,,,
77,2.566667,0.473716,-0.001791,0.026487,,,,,,,,,,,,,,
78,2.6,0.473731,-0.001814,0.026443,,,,,,,,,,,,,,
79,2.633333,0.473732,-0.001803,0.026387,,,,,,,,,,,,,,
80,2.666667,0.473746,-0.00181,0.026368,,,,,,,,,,,,,,
81,2.7,0.473754,-0.001826,0.026329,,,,,,,,,,,,,,
82,2.733333,0.473756,-0.001822,0.026297,,,,,,,,,,,,,,
83,2.766667,0.473775,-0.00183,0.026252,,,,,,,,,,,,,,
84,2.8,0.473774,-0.001833,0.026237,,,,,,,,,,,,,,
85,2.833333,0.473779,-0.001834,0.026209,,,,,,,,,,,,,,
86,2.866667,0.473793,-0.001832,0.02616,,,,,,,,,,,,,,
87,2.9,0.473792,-0.00184,0.026155,,,,,,,,,,,,,,
88,2.933333,0.473799,-0.001839,0.026132,,,,,,,,,,,,,,
89,2.966667,0.473809,-0.001838,0.026097,,,,,,,,,,,,,,
90,3,0.473807,-0.001845,0.026117,,,,,,,,,,,,,,
91,3.033333,0.473816,-0.001827,0.02606,,,,,,,,,,,,,,
92,3.066667,0.473821,-0.001815,0.026031,,,,,,,,,,,,,,
93,3.1,0.473823,-0.001834,0.026047,,,,,,,,,,,,,,
94,3.133333,0.47383,-0.001823,0.026005,,,,,,,,,,,,,,
95,3.166667,0.47383,-0.001826,0.026007,,,,,,,,,,,,,,
96,3.2,0.473831,-0.001833,0.02602,,,,,,,,,,,,,,
97,3.233333,0.473838,-0.001827,0.025967,,,,,,,,,,,,,,
98,3.266667,0.47384,-0.001821,0.025965,,,,,,,,,,,,,,
99,3.3,0.473838,-0.001829,0.025977,,,,,,,,,,,,,,
100,3.333333,0.473854,-0.001817,0.025925,,,,,,,,,,,,,,
101,3.366667,0.473851,-0.001831,0.025952,,,,,,,,,,,,,,
102,3.4,0.473852,-0.001832,0.025941,,,,,,,,,,,,,,
103,3.433333,0.473875,-0.001825,0.025893,,,,,,,,,,,,,,
104,3.466667,0.47389,-0.001842,0.025848,,,,,,,,,,,,,,
105,3.5,0.473943,-0.001902,0.025628,,,,,,,,,,,,,,
106,3.533333,0.47402,-0.002111,0.025218,,,,,,,,,,,,,,
107,3.566667,0.474181,-0.002227,0.024589,,,,,,,,,,,,,,
108,3.6,0.474353,-0.002373,0.023673,,,,,,,,,,,,,,
109,3.633333,0.474556,-0.00271,0.022697,,,,,,,,,,,,,,
110,3.666667,0.47465,-0.002955,0.021953,,,,,,,,,,,,,,
111,3.7,0.474732,-0.003176,0.02174,,,,,,,,,,,,,,
112,3.733333,0.474691,-0.003144,0.021796,,,,,,,,,,,,,,
113,3.766667,0.474704,-0.00325,0.021621,,,,,,,,,,,,,,
114,3.8,0.474708,-0.003251,0.021273,,,,,,,,,,,,,,
115,3.833333,0.4747,-0.003286,0.021125,,,,,,,,,,,,,,
116,3.866667,0.474697,-0.003254,0.021257,,,,,,,,,,,,,,
117,3.9,0.474697,-0.003249,0.021348,,,,,,,,,,,,,,
118,3.933333,0.474697,-0.003245,0.021259,,,,,,,,,,,,,,
119,3.966667,0.474691,-0.003266,0.021209,,,,,,,,,,,,,,
120,4,0.474692,-0.003243,0.021363,,,,,,,,,,,,,,
121,4.033333,0.474677,-0.003248,0.021613,,,,,,,,,,,,,,
122,4.066667,0.474664,-0.003224,0.022036,,,,,,,,,,,,,,
123,4.1,0.474661,-0.003248,0.022663,,,,,,,,,,,,,,
124,4.133333,0.474791,-0.003219,0.023239,,,,,,,,,,,,,,
125,4.166667,0.47497,-0.003153,0.02362,,,,,,,,,,,,,,
126,4.2,0.475219,-0.002937,0.024092,,,,,,,,,,,,,,
127,4.233333,0.475317,-0.00279,0.02471,,,,,,,,,,,,,,
128,4.266667,0.475433,-0.002717,0.025001,,,,,,,,,,,,,,
129,4.3,0.475532,-0.002637,0.025155,,,,,,,,,,,,,,
130,4.333333,0.475616,-0.002605,0.025323,,,,,,,,,,,,,,
131,4.366667,0.475691,-0.002594,0.025571,,,,,,,,,,,,,,
132,4.4,0.475692,-0.002587,0.025538,,,,,,,,,,,,,,
133,4.433333,0.475665,-0.002588,0.02532,,,,,,,,,,,,,,
134,4.466667,0.47565,-0.002596,0.025304,,,,,,,,,,,,,,
135,4.5,0.475643,-0.002591,0.025275,,,,,,,,,,,,,,
136,4.533333,0.47563,-0.002584,0.025202,,,,,,,,,,,,,,
137,4.566667,0.475626,-0.002593,0.025221,,,,,,,,,,,,,,
138,4.6,0.475621,-0.002596,0.025201,,,,,,,,,,,,,,
139,4.633333,0.475619,-0.002586,0.025152,,,,,,,,,,,,,,
140,4.666667,0.475619,-0.002583,0.025159,,,,,,,,,,,,,,
141,4.7,0.475612,-0.002594,0.025127,,,,,,,,,,,,,,
142,4.733333,0.475603,-0.00259,0.025086,,,,,,,,,,,,,,
143,4.766667,0.475599,-0.002595,0.025088,,,,,,,,,,,,,,
144,4.8,0.475593,-0.002579,0.025056,,,,,,,,,,,,,,
145,4.833333,0.475586,-0.002579,0.025031,,,,,,,,,,,,,,
146,4.866667,0.47558,-0.002581,0.025026,,,,,,,,,,,,,,
147,4.9,0.47558,-0.002576,0.024998,,,,,,,,,,,,,,
148,4.933333,0.475573,-0.002584,0.024994,,,,,,,,,,,,,,
149,4.966667,0.475571,-0.002584,0.024986,,,,,,,,,,,,,,
150,5,0.475568,-0.002581,0.024961,,,,,,,,,,,,,,
151,5.033333,0.475565,-0.002583,0.024961,,,,,,,,,,,,,,
152,5.066667,0.475562,-0.002586,0.024948,,,,,,,,,,,,,,
153,5.1,0.475561,-0.002579,0.024931,,,,,,,,,,,,,,
154,5.133333,0.475558,-0.002582,0.024934,,,,,,,,,,,,,,
155,5.166667,0.475556,-0.002588,0.024927,,,,,,,,,,,,,,
156,5.2,0.475552,-0.002597,0.024904,,,,,,,,,,,,,,
157,5.233333,0.475549,-0.002582,0.024911,,,,,,,,,,,,,,
158,5.266667,0.475545,-0.002606,0.024892,,,,,,,,,,,,,,
159,5.3,0.475546,-0.002599,0.024879,,,,,,,,,,,,,,
160,5.333333,0.475541,-0.002602,0.024884,,,,,,,,,,,,,,
161,5.366667,0.475536,-0.002611,0.024861,,,,,,,,,,,,,,
162,5.4,0.475501,-0.002635,0.024722,,,,,,,,,,,,,,
163,5.433333,0.475436,-0.002705,0.024348,,,,,,,,,,,,,,
164,5.466667,0.475319,-0.002783,0.023657,,,,,,,,,,,,,,
165,5.5,0.475104,-0.003074,0.023102,,,,,,,,,,,,,,
166,5.533333,0.475024,-0.003153,0.022724,,,,,,,,,,,,,,
167,5.566667,0.475037,-0.003171,0.022693,,,,,,,,,,,,,,
168,5.6,0.474994,-0.003234,0.022358,,,,,,,,,,,,,,
169,5.633333,0.474992,-0.003255,0.021973,,,,,,,,,,,,,,
170,5.666667,0.475004,-0.003262,0.022307,,,,,,,,,,,,,,
171,5.7,0.475008,-0.00328,0.022501,,,,,,,,,,,,,,
172,5.733333,0.475032,-0.003324,0.022179,,,,,,,,,,,,,,
173,5.766667,0.475037,-0.003415,0.021939,,,,,,,,,,,,,,
174,5.8,0.475037,-0.003411,0.02209,,,,,,,,,,,,,,
175,5.833333,0.47505,-0.003346,0.022384,,,,,,,,,,,,,,
176,5.866667,0.475049,-0.003368,0.022364,,,,,,,,,,,,,,
177,5.9,0.475044,-0.003401,0.022192,,,,,,,,,,,,,,
178,5.933333,0.475037,-0.003399,0.022291,,,,,,,,,,,,,,
179,5.966667,0.475051,-0.003304,0.022869,,,,,,,,,,,,,,
180,6,0.474863,-0.003043,0.023853,,,,,,,,,,,,,,
181,6.033333,0.47467,-0.002809,0.02487,,,,,,,,,,,,,,
182,6.066667,0.474355,-0.002528,0.026004,,,,,,,,,,,,,,
183,6.1,0.474038,-0.002454,0.02725,,,,,,,,,,,,,,
184,6.133333,0.473804,-0.002276,0.028047,,,,,,,,,,,,,,
185,6.166667,0.473779,-0.002207,0.028241,,,,,,,,,,,,,,
186,6.2,0.473661,-0.002186,0.028296,,,,,,,,,,,,,,
187,6.233333,0.473395,-0.001965,0.029202,,,,,,,,,,,,,,
188,6.266667,0.473235,-0.002016,0.030246,,,,,,,,,,,,,,
189,6.3,0.473218,-0.001961,0.030187,,,,,,,,,,,,,,
190,6.333333,0.473236,-0.001879,0.029616,,,,,,,,,,,,,,
191,6.366667,0.473267,-0.001885,0.029654,,,,,,,,,,,,,,
192,6.4,0.473281,-0.001971,0.029826,,,,,,,,,,,,,,
193,6.433333,0.473258,-0.001882,0.029635,,,,,,,,,,,,,,
194,6.466667,0.473301,-0.001898,0.02949,,,,,,,,,,,,,,
195,6.5,0.473305,-0.001897,0.029644,,,,,,,,,,,,,,
196,6.533333,0.473303,-0.001877,0.029581,,,,,,,,,,,,,,
197,6.566667,0.473331,-0.001904,0.029394,,,,,,,,,,,,,,
198,6.6,0.473325,-0.001902,0.029453,,,,,,,,,,,,,,
199,6.633333,0.47334,-0.001915,0.029445,,,,,,,,,,,,,,
200,6.666667,0.47336,-0.001893,0.02932,,,,,,,,,,,,,,
201,6.7,0.473362,-0.001897,0.029325,,,,,,,,,,,,,,
202,6.733333,0.473375,-0.001914,0.029342,,,,,,,,,,,,,,
203,6.766667,0.473377,-0.001898,0.02926,,,,,,,,,,,,,,
204,6.8,0.473383,-0.001905,0.02923,,,,,,,,,,,,,,
205,6.833333,0.473391,-0.001917,0.029255,,,,,,,,,,,,,,
206,6.866667,0.473392,-0.001912,0.029205,,,,,,,,,,,,,,
207,6.9,0.4734,-0.001904,0.029161,,,,,,,,,,,,,,
208,6.933333,0.473402,-0.001921,0.029184,,,,,,,,,,,,,,
209,6.966667,0.473407,-0.001903,0.029153,,,,,,,,,,,,,,
210,7,0.473414,-0.001908,0.029116,,,,,,,,,,,,,,
