Format Version,1.23,Take Name,turtle_d30_30t_7.5c,Take Notes,,Capture Frame Rate,30.000000,Export Frame Rate,30.000000,Capture Start Time,2022-11-07 04.50.51.680 PM,Total Frames in Take,899,Total Exported Frames,899,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,d30_30tall_15canal,d30_30tall_15canal,d30_30tall_15canal,d30_30tall_15canal,d30_30tall_15canal,d30_30tall_15canal,d30_30tall_15canal,d30_30tall_15canal,"d30_30tall_15canal:Marker1","d30_30tall_15canal:Marker1","d30_30tall_15canal:Marker1","d30_30tall_15canal:Marker1","d30_30tall_15canal:Marker2","d30_30tall_15canal:Marker2","d30_30tall_15canal:Marker2","d30_30tall_15canal:Marker2","d30_30tall_15canal:Marker3","d30_30tall_15canal:Marker3","d30_30tall_15canal:Marker3","d30_30tall_15canal:Marker3",d30_30tall_15canal:Marker1,d30_30tall_15canal:Marker1,d30_30tall_15canal:Marker1,d30_30tall_15canal:Marker2,d30_30tall_15canal:Marker2,d30_30tall_15canal:Marker2,d30_30tall_15canal:Marker3,d30_30tall_15canal:Marker3,d30_30tall_15canal:Marker3
,ID,"BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","C36B0","C36B0","C36B0","C36A0","C36A0","C36A0","C3700","C3700","C3700"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.027953,-0.052791,-0.008729,-0.998176,0.212426,-0.002532,0.280158,0.000648,0.257479,0.003119,0.280965,0.842242,0.221108,-0.005487,0.266303,0.894845,0.158690,-0.005229,0.293206,0.943115,0.258064,0.003332,0.281069,0.220735,-0.005666,0.266228,0.158492,-0.005339,0.293183
1,0.033333,0.027952,-0.052725,-0.008795,-0.998179,0.212420,-0.002523,0.280145,0.000647,0.257473,0.003135,0.280958,0.842242,0.221105,-0.005477,0.266291,0.894845,0.158683,-0.005227,0.293186,0.943115,0.258058,0.003349,0.281063,0.220734,-0.005657,0.266213,0.158483,-0.005338,0.293164
2,0.066667,0.028651,-0.052641,-0.008732,-0.998164,0.212418,-0.002523,0.280095,0.000651,0.257471,0.003134,0.280908,0.842038,0.221105,-0.005496,0.266247,0.895067,0.158679,-0.005206,0.293130,0.942548,0.258060,0.003346,0.281009,0.220731,-0.005671,0.266176,0.158479,-0.005319,0.293104
3,0.100000,0.028709,-0.052650,-0.008566,-0.998164,0.212418,-0.002537,0.280096,0.000648,0.257472,0.003105,0.280908,0.841507,0.221104,-0.005516,0.266248,0.895247,0.158677,-0.005201,0.293132,0.942262,0.258059,0.003314,0.281007,0.220731,-0.005686,0.266181,0.158477,-0.005316,0.293105
4,0.133333,0.027619,-0.052415,-0.008694,-0.998206,0.212417,-0.002522,0.280189,0.000654,0.257470,0.003125,0.281033,0.842305,0.221109,-0.005469,0.266338,0.896133,0.158671,-0.005223,0.293194,0.941885,0.258060,0.003344,0.281146,0.220735,-0.005659,0.266249,0.158470,-0.005330,0.293175
5,0.166667,0.027891,-0.052296,-0.008557,-0.998205,0.212417,-0.002518,0.280153,0.000653,0.257471,0.003119,0.281005,0.839991,0.221113,-0.005474,0.266306,0.892662,0.158667,-0.005199,0.293147,0.942918,0.258061,0.003335,0.281117,0.220738,-0.005661,0.266220,0.158469,-0.005307,0.293126
