Frame,Time (Seconds),X,Y,Z
0,0,0.212426,-0.002532,0.280158
1,0.033333,0.21242,-0.002523,0.280145
2,0.066667,0.212418,-0.002523,0.280095
3,0.1,0.212418,-0.002537,0.280096
4,0.133333,0.212417,-0.002522,0.280189
5,0.166667,0.212417,-0.002518,0.280153
6,0.2,0.212413,-0.00252,0.280094
7,0.233333,0.212418,-0.002523,0.280191
8,0.266667,0.212416,-0.002501,0.28019
9,0.3,0.212408,-0.002516,0.280115
10,0.333333,0.212419,-0.002514,0.280217
11,0.366667,0.212417,-0.002515,0.280256
12,0.4,0.212407,-0.002492,0.280115
13,0.433333,0.212412,-0.002505,0.280165
14,0.466667,0.21236,-0.002437,0.280212
15,0.5,0.212099,-0.00213,0.280072
16,0.533333,0.211872,-0.001465,0.27985
17,0.566667,0.211709,-0.001365,0.279425
18,0.6,0.211677,-0.001469,0.279569
19,0.633333,0.211591,-0.001578,0.280394
20,0.666667,0.211526,-0.001215,0.282491
21,0.7,0.211226,-0.001209,0.285534
22,0.733333,0.210993,-0.001647,0.28913
23,0.766667,0.21096,-0.001765,0.292092
24,0.8,0.210923,-0.00184,0.293093
25,0.833333,0.210901,-0.002009,0.293448
26,0.866667,0.210819,-0.002106,0.293786
27,0.9,0.210824,-0.002217,0.293465
28,0.933333,0.210628,-0.002277,0.293295
29,0.966667,0.210442,-0.002446,0.293041
30,1,0.210232,-0.002668,0.292254
31,1.033333,0.209934,-0.002979,0.29126
32,1.066667,0.209676,-0.003005,0.290577
33,1.1,0.209211,-0.00298,0.290315
34,1.133333,0.208813,-0.003102,0.289716
35,1.166667,0.208577,-0.003056,0.289022
36,1.2,0.208278,-0.003023,0.288569
37,1.233333,0.208059,-0.002978,0.288073
38,1.266667,0.207986,-0.002896,0.287416
39,1.3,0.20785,-0.002865,0.286876
40,1.333333,0.207774,-0.002808,0.286391
41,1.366667,0.207774,-0.002772,0.286045
42,1.4,,,
43,1.433333,0.20776,-0.00271,0.286182
44,1.466667,0.207776,-0.002695,0.286049
45,1.5,0.207796,-0.002692,0.285992
46,1.533333,0.2078,-0.002656,0.286054
47,1.566667,0.207806,-0.002632,0.286047
48,1.6,0.207819,-0.002659,0.285981
